polutan,segmen,model_terbaik,mae_final,rmse_final,r2_final
PM25,PAGI,Lasso,0.8525,1.1143,0.9948
PM10,PAGI,Lasso,0.895,1.1619,0.9934
CO,PAGI,ExtraTreesRegressor,0.1594,0.1978,0.718
NO2,PAGI,CatBoostRegressor,4.5268,5.8643,0.8082
O3,PAGI,CatBoostRegressor,14.3485,18.5462,0.8272
PM25,SIANG,BayesianRidge,0.578,0.7674,0.987
PM10,SIANG,BayesianRidge,0.5654,0.7594,0.9867
CO,SIANG,CatBoostRegressor,0.1931,0.2484,0.6311
NO2,SIANG,LGBMRegressor,3.0296,4.0863,0.7619
O3,SIANG,BayesianRidge,11.3752,16.5023,0.7584
PM25,SORE_MALAM,Lasso,0.592,0.8208,0.9969
PM10,SORE_MALAM,Lasso,0.55,0.7452,0.9973
CO,SORE_MALAM,LGBMRegressor,0.232,0.3053,0.7916
NO2,SORE_MALAM,ElasticNet,3.9894,5.0328,0.7817
O3,SORE_MALAM,CatBoostRegressor,10.1563,13.412,0.5849
